Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,NQ106,FRYATT HOSPITAL,Apr-21,All Patients,410,No Data,NULL,NULL
1. MSitAE Comparison,NQ108,CLACTON HOSPITAL,Apr-21,All Patients,2075,No Data,NULL,NULL
1. MSitAE Comparison,NQT5F,SKELMERSDALE WALK IN CENTRE,Apr-21,All Patients,605,604,100,NULL
1. MSitAE Comparison,NQT5G,URGENT CARE CENTRE,Apr-21,All Patients,1965,No Data,NULL,NULL
1. MSitAE Comparison,NQT5H,PAULTON MEMORIAL HOSPITAL,Apr-21,All Patients,420,513,82,NULL
1. MSitAE Comparison,NR318,SEATON HOUSE,Apr-21,All Patients,8245,No Data,NULL,NULL
1. MSitAE Comparison,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,Apr-21,All Patients,1665,4316,39,NULL
1. MSitAE Comparison,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,Apr-21,All Patients,5000,5253,95,NULL
1. MSitAE Comparison,NTPAN,PRACTICE PLUS GROUP URGENT TREATMENT CENTRE - SOUTHAMPTON,Apr-21,All Patients,2460,No Data,NULL,NULL
1. MSitAE Comparison,NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,Apr-21,All Patients,705,No Data,NULL,NULL
1. MSitAE Comparison,NTV0B,ASHFORD WALK-IN-CENTRE,Apr-21,All Patients,2510,2510,100,NULL
1. MSitAE Comparison,NTV0W,WOKING WALK IN CENTRE,Apr-21,All Patients,2545,2529,101,NULL
1. MSitAE Comparison,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Apr-21,All Patients,36160,36777,98,NULL
1. MSitAE Comparison,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Apr-21,All Patients,19155,19141,100,NULL
1. MSitAE Comparison,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Apr-21,All Patients,13975,15413,91,NULL
1. MSitAE Comparison,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Apr-21,All Patients,2275,2254,101,NULL
1. MSitAE Comparison,R1F,ISLE OF WIGHT NHS TRUST,Apr-21,All Patients,2660,4648,57,NULL
1. MSitAE Comparison,R1H,BARTS HEALTH NHS TRUST,Apr-21,All Patients,27475,37432,73,NULL
1. MSitAE Comparison,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Apr-21,All Patients,10530,26061,40,NULL
1. MSitAE Comparison,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,6800,6150,111,NULL
1. MSitAE Comparison,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,4690,4688,100,NULL
1. MSitAE Comparison,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Apr-21,All Patients,11050,14723,75,NULL
1. MSitAE Comparison,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Apr-21,All Patients,7945,7944,100,NULL
1. MSitAE Comparison,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11530,11534,100,NULL
1. MSitAE Comparison,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Apr-21,All Patients,30550,30528,100,NULL
1. MSitAE Comparison,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Apr-21,All Patients,23275,24091,97,NULL
1. MSitAE Comparison,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Apr-21,All Patients,15700,15410,102,NULL
1. MSitAE Comparison,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,5060,9867,51,NULL
1. MSitAE Comparison,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Apr-21,All Patients,2990,2087,143,NULL
1. MSitAE Comparison,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,9280,9404,99,NULL
1. MSitAE Comparison,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,6020,6010,100,NULL
1. MSitAE Comparison,RBK,WALSALL HEALTHCARE NHS TRUST,Apr-21,All Patients,6875,10410,66,NULL
1. MSitAE Comparison,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,8495,10347,82,NULL
1. MSitAE Comparison,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Apr-21,All Patients,15455,15402,100,NULL
1. MSitAE Comparison,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Apr-21,All Patients,5520,5515,100,NULL
1. MSitAE Comparison,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,8815,8433,105,NULL
1. MSitAE Comparison,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,Apr-21,All Patients,4410,4092,108,NULL
1. MSitAE Comparison,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,14240,17570,81,NULL
1. MSitAE Comparison,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11280,16159,70,NULL
1. MSitAE Comparison,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Apr-21,All Patients,4910,4902,100,NULL
1. MSitAE Comparison,RCF,AIREDALE NHS FOUNDATION TRUST,Apr-21,All Patients,5730,6036,95,NULL
1. MSitAE Comparison,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Apr-21,All Patients,3975,3975,100,NULL
1. MSitAE Comparison,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Apr-21,All Patients,6070,6121,99,NULL
1. MSitAE Comparison,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Apr-21,All Patients,7475,7468,100,NULL
1. MSitAE Comparison,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,7710,11935,65,NULL
1. MSitAE Comparison,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Apr-21,All Patients,16975,18614,91,NULL
1. MSitAE Comparison,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Apr-21,All Patients,9085,9080,100,NULL
1. MSitAE Comparison,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Apr-21,All Patients,19725,19716,100,NULL
1. MSitAE Comparison,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Apr-21,All Patients,13920,13997,99,NULL
1. MSitAE Comparison,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,18280,24167,76,NULL
1. MSitAE Comparison,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,Apr-21,All Patients,950,1032,92,NULL
1. MSitAE Comparison,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Apr-21,All Patients,12935,22282,58,NULL
1. MSitAE Comparison,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,8355,8361,100,NULL
1. MSitAE Comparison,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,Apr-21,All Patients,7990,8725,92,NULL
1. MSitAE Comparison,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,7700,7713,100,NULL
1. MSitAE Comparison,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,Apr-21,All Patients,14045,14026,100,NULL
1. MSitAE Comparison,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,6580,6388,103,NULL
1. MSitAE Comparison,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,Apr-21,All Patients,6585,6614,100,NULL
1. MSitAE Comparison,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,12410,12525,99,NULL
1. MSitAE Comparison,RH5,SOMERSET NHS FOUNDATION TRUST,Apr-21,All Patients,12220,12907,95,NULL
1. MSitAE Comparison,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,Apr-21,All Patients,8125,9438,86,NULL
1. MSitAE Comparison,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,Apr-21,All Patients,10630,10663,100,NULL
1. MSitAE Comparison,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11700,17001,69,NULL
1. MSitAE Comparison,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,Apr-21,All Patients,11280,11447,99,NULL
1. MSitAE Comparison,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,Apr-21,All Patients,12040,12514,96,NULL
1. MSitAE Comparison,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,Apr-21,All Patients,11905,13862,86,NULL
1. MSitAE Comparison,RJ2,LEWISHAM AND GREENWICH NHS TRUST,Apr-21,All Patients,16595,22133,75,NULL
1. MSitAE Comparison,RJ6,CROYDON HEALTH SERVICES NHS TRUST,Apr-21,All Patients,17625,17034,103,NULL
1. MSitAE Comparison,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11605,12351,94,NULL
1. MSitAE Comparison,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,Apr-21,All Patients,6360,6360,100,NULL
1. MSitAE Comparison,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Apr-21,All Patients,19310,21269,91,NULL
1. MSitAE Comparison,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Apr-21,All Patients,12595,12580,100,NULL
1. MSitAE Comparison,RJN,EAST CHESHIRE NHS TRUST,Apr-21,All Patients,3985,4050,98,NULL
1. MSitAE Comparison,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,7825,7154,109,NULL
1. MSitAE Comparison,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,17220,22260,77,NULL
1. MSitAE Comparison,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,8625,12295,70,NULL
1. MSitAE Comparison,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Apr-21,All Patients,11310,12053,94,NULL
1. MSitAE Comparison,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Apr-21,All Patients,16530,16549,100,NULL
1. MSitAE Comparison,RKE,WHITTINGTON HEALTH NHS TRUST,Apr-21,All Patients,8860,8861,100,NULL
1. MSitAE Comparison,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Apr-21,All Patients,18580,18591,100,NULL
1. MSitAE Comparison,RLQ,WYE VALLEY NHS TRUST,Apr-21,All Patients,5115,5526,93,NULL
1. MSitAE Comparison,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Apr-21,All Patients,7100,7095,100,NULL
1. MSitAE Comparison,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11620,16611,70,NULL
1. MSitAE Comparison,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,Apr-21,All Patients,8275,8738,95,NULL
1. MSitAE Comparison,RMC,BOLTON NHS FOUNDATION TRUST,Apr-21,All Patients,10500,10515,100,NULL
1. MSitAE Comparison,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,Apr-21,All Patients,10140,10139,100,NULL
1. MSitAE Comparison,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,9210,9201,100,NULL
1. MSitAE Comparison,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,10500,10891,96,NULL
1. MSitAE Comparison,RN7,DARTFORD AND GRAVESHAM NHS TRUST,Apr-21,All Patients,11185,11292,99,NULL
1. MSitAE Comparison,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,Apr-21,All Patients,8310,15500,54,NULL
1. MSitAE Comparison,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Apr-21,All Patients,9400,8838,106,NULL
1. MSitAE Comparison,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,8075,8103,100,NULL
1. MSitAE Comparison,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Apr-21,All Patients,10245,10264,100,NULL
1. MSitAE Comparison,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,Apr-21,All Patients,3530,2914,121,NULL
1. MSitAE Comparison,RNZ,SALISBURY NHS FOUNDATION TRUST,Apr-21,All Patients,4230,5386,79,NULL
1. MSitAE Comparison,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,15820,15824,100,NULL
1. MSitAE Comparison,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,4780,4079,117,NULL
1. MSitAE Comparison,RPA,MEDWAY NHS FOUNDATION TRUST,Apr-21,All Patients,9950,10286,97,NULL
1. MSitAE Comparison,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,800,802,100,NULL
1. MSitAE Comparison,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Apr-21,All Patients,3720,4172,89,NULL
1. MSitAE Comparison,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Apr-21,All Patients,16505,23984,69,NULL
1. MSitAE Comparison,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Apr-21,All Patients,9220,9223,100,NULL
1. MSitAE Comparison,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,Apr-21,All Patients,8560,8594,100,NULL
1. MSitAE Comparison,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Apr-21,All Patients,7375,7390,100,NULL
1. MSitAE Comparison,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Apr-21,All Patients,18455,25520,72,NULL
1. MSitAE Comparison,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",Apr-21,All Patients,12465,12466,100,NULL
1. MSitAE Comparison,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Apr-21,All Patients,31345,32186,97,NULL
1. MSitAE Comparison,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,8780,8794,100,NULL
1. MSitAE Comparison,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,16450,16463,100,NULL
1. MSitAE Comparison,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11065,11669,95,NULL
1. MSitAE Comparison,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Apr-21,All Patients,16495,17333,95,NULL
1. MSitAE Comparison,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Apr-21,All Patients,21070,25608,82,NULL
1. MSitAE Comparison,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,11095,12475,89,NULL
1. MSitAE Comparison,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,9545,10467,91,NULL
1. MSitAE Comparison,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,Apr-21,All Patients,9545,9563,100,NULL
1. MSitAE Comparison,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,12935,12939,100,NULL
1. MSitAE Comparison,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,Apr-21,All Patients,9665,9854,98,NULL
1. MSitAE Comparison,RVJ,NORTH BRISTOL NHS TRUST,Apr-21,All Patients,7940,7945,100,NULL
1. MSitAE Comparison,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Apr-21,All Patients,12750,13068,98,NULL
1. MSitAE Comparison,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Apr-21,All Patients,20480,20340,101,NULL
1. MSitAE Comparison,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,Apr-21,All Patients,12595,12736,99,NULL
1. MSitAE Comparison,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,Apr-21,All Patients,7075,8907,79,NULL
1. MSitAE Comparison,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,Apr-21,All Patients,775,704,110,NULL
1. MSitAE Comparison,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,Apr-21,All Patients,18790,18507,102,NULL
1. MSitAE Comparison,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Apr-21,All Patients,10405,10410,100,NULL
1. MSitAE Comparison,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Apr-21,All Patients,8550,16883,51,NULL
1. MSitAE Comparison,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Apr-21,All Patients,19480,19656,99,NULL
1. MSitAE Comparison,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,Apr-21,All Patients,18935,16282,116,NULL
1. MSitAE Comparison,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,Apr-21,All Patients,13195,13202,100,NULL
1. MSitAE Comparison,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Apr-21,All Patients,13765,13470,102,NULL
1. MSitAE Comparison,RWJ,STOCKPORT NHS FOUNDATION TRUST,Apr-21,All Patients,8905,8932,100,NULL
1. MSitAE Comparison,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Apr-21,All Patients,16820,15882,106,NULL
1. MSitAE Comparison,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,9850,9857,100,NULL
1. MSitAE Comparison,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Apr-21,All Patients,2485,1640,151,NULL
1. MSitAE Comparison,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Apr-21,All Patients,13445,13432,100,NULL
1. MSitAE Comparison,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Apr-21,All Patients,16170,16206,100,NULL
1. MSitAE Comparison,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,Apr-21,All Patients,11695,11725,100,NULL
1. MSitAE Comparison,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,Apr-21,All Patients,21695,21713,100,NULL
1. MSitAE Comparison,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Apr-21,All Patients,23195,18620,125,NULL
1. MSitAE Comparison,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,6250,15951,39,NULL
1. MSitAE Comparison,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-21,All Patients,13870,14756,94,NULL
1. MSitAE Comparison,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Apr-21,All Patients,13615,17547,78,NULL
1. MSitAE Comparison,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Apr-21,All Patients,7390,11423,65,NULL
1. MSitAE Comparison,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,Apr-21,All Patients,16475,16425,100,NULL
1. MSitAE Comparison,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,Apr-21,All Patients,11995,12070,99,NULL
1. MSitAE Comparison,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Apr-21,All Patients,4155,4106,101,NULL
1. MSitAE Comparison,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,Apr-21,All Patients,15500,7307,212,NULL
1. MSitAE Comparison,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,Apr-21,All Patients,2625,1552,169,NULL
1. MSitAE Comparison,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Apr-21,All Patients,5405,6521,83,NULL
1. MSitAE Comparison,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,Apr-21,All Patients,11105,3143,353,NULL
1. MSitAE Comparison,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Apr-21,All Patients,14160,20513,69,NULL
1. MSitAE Comparison,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,Apr-21,All Patients,13550,27725,49,NULL
1. MSitAE Comparison,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,Apr-21,All Patients,1895,2678,71,NULL
1. MSitAE Comparison,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,Apr-21,All Patients,3870,4926,79,NULL
1. MSitAE Comparison,W5R9N,BLACKPOOL VICTORIA URGENT CARE CENTRE,Apr-21,All Patients,1890,No Data,NULL,NULL
1. MSitAE Comparison,AAH,TETBURY HOSPITAL TRUST LTD,May-21,All Patients,180,180,-,NULL
1. MSitAE Comparison,AD9,GREENBROOK HEALTHCARE,May-21,All Patients,5735,No Data,NULL,NULL
1. MSitAE Comparison,AD903,URGENT CARE CENTRE,May-21,All Patients,7730,No Data,NULL,NULL
1. MSitAE Comparison,AD904,UCC AT HILLINGDON HOSPITAL,May-21,All Patients,7695,No Data,NULL,NULL
1. MSitAE Comparison,AD906,UCC - NORTHWICK PARK HOSPITAL,May-21,All Patients,10835,No Data,NULL,NULL
1. MSitAE Comparison,AD913,BECKENHAM BEACON UCC,May-21,All Patients,3910,3913,100,NULL
1. MSitAE Comparison,AD914,UCC - QUEEN ELIZABETH HOSPITAL,May-21,All Patients,7725,No Data,NULL,NULL
1. MSitAE Comparison,AD918,UTC - CENTRAL MIDDLESEX HOSPITAL,May-21,All Patients,3255,No Data,NULL,NULL
1. MSitAE Comparison,ANH,MALLING HEALTH,May-21,All Patients,19185,No Data,NULL,NULL
1. MSitAE Comparison,AXA,TOWER HAMLETS GP CARE GROUP CIC,May-21,All Patients,7725,No Data,NULL,NULL
1. MSitAE Comparison,AXG,WILTSHIRE HEALTH & CARE,May-21,All Patients,1005,1062,95,NULL
1. MSitAE Comparison,AXT,ONE MEDICAL GROUP LIMITED,May-21,All Patients,6630,No Data,NULL,NULL
1. MSitAE Comparison,D0W0K,HEALTH & WELLBEING CENTRE,May-21,All Patients,2170,No Data,NULL,NULL
1. MSitAE Comparison,F4I4D,WHITEGATE DRIVE HEALTH CENTRE,May-21,All Patients,6075,No Data,NULL,NULL
1. MSitAE Comparison,NLO15,YORKSHIRE DOCTORS URGENT CARE - VALE OF YORK,May-21,All Patients,*,No Data,-,NULL
1. MSitAE Comparison,NLO21,ST MARY'S URGENT CARE CENTRE,May-21,All Patients,20,No Data,-,NULL
1. MSitAE Comparison,NLO24,YORK HOSPITAL URGENT CARE CENTRE,May-21,All Patients,715,No Data,NULL,NULL
1. MSitAE Comparison,NLO26,ROYAL STOKE UNIVERSITY HOSPITAL URGENT CARE CENTRE,May-21,All Patients,4200,No Data,NULL,NULL
1. MSitAE Comparison,NNF,CITY HEALTH CARE PARTNERSHIP CIC,May-21,All Patients,10415,No Data,NULL,NULL
