Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ALL,ALL SUBMITTERS,25064002,Headache (finding),299754,2019,April
ALL,ALL SUBMITTERS,26079004,Tremor (finding),6288,2019,April
ALL,ALL SUBMITTERS,262525000,Chest injury (disorder),95891,2019,April
ALL,ALL SUBMITTERS,262595009,Traumatic amputation (disorder),728,2019,April
ALL,ALL SUBMITTERS,262599003,Foreign body in respiratory tract (disorder),7390,2019,April
ALL,ALL SUBMITTERS,267036007,Dyspnea (finding),827770,2019,April
ALL,ALL SUBMITTERS,267064002,Retention of urine (disorder),85024,2019,April
ALL,ALL SUBMITTERS,267102003,Sore throat symptom (finding),216897,2019,April
ALL,ALL SUBMITTERS,271594007,Syncope (disorder),70796,2019,April
ALL,ALL SUBMITTERS,271771009,Joint swelling (finding),31494,2019,April
ALL,ALL SUBMITTERS,271807003,Eruption of skin (disorder),299548,2019,April
ALL,ALL SUBMITTERS,272022009,Complaining of feeling depressed (finding),131720,2019,April
ALL,ALL SUBMITTERS,276464002,Injury of anus (disorder),1309,2019,April
ALL,ALL SUBMITTERS,281398003,Groin mass (finding),12466,2019,April
ALL,ALL SUBMITTERS,282752000,Injury of eye region (disorder),63194,2019,April
ALL,ALL SUBMITTERS,282765009,Upper back injury (disorder),28064,2019,April
ALL,ALL SUBMITTERS,282766005,Lower back injury (disorder),116922,2019,April
ALL,ALL SUBMITTERS,283682007,Bite - wound (disorder),126529,2019,April
ALL,ALL SUBMITTERS,28442001,Polyuria (finding),50687,2019,April
ALL,ALL SUBMITTERS,289530006,Bleeding from vagina (finding),84986,2019,April
ALL,ALL SUBMITTERS,289610003,Vaginal problem (finding),11015,2019,April
ALL,ALL SUBMITTERS,290085007,Breast problem (finding),2685,2019,April
ALL,ALL SUBMITTERS,297982009,Skin problem (finding),186430,2019,April
ALL,ALL SUBMITTERS,29857009,Chest pain (finding),1037608,2019,April
ALL,ALL SUBMITTERS,2999009,Injury of ear (disorder),8462,2019,April
ALL,ALL SUBMITTERS,299972003,Sting of skin (disorder),14131,2019,April
ALL,ALL SUBMITTERS,300132001,Ear discharge (finding),17654,2019,April
ALL,ALL SUBMITTERS,300528000,Penis problem (finding),9663,2019,April
ALL,ALL SUBMITTERS,3006004,Disturbance of consciousness (finding),58397,2019,April
ALL,ALL SUBMITTERS,302866003,Hypoglycemia (disorder),16379,2019,April
ALL,ALL SUBMITTERS,312608009,Laceration - injury (disorder),370307,2019,April
ALL,ALL SUBMITTERS,312609001,Puncture wound - injury (disorder),42560,2019,April
ALL,ALL SUBMITTERS,33334006,Foreign body in digestive tract (disorder),19592,2019,April
ALL,ALL SUBMITTERS,34124000,Foreign body in vagina (disorder),4911,2019,April
ALL,ALL SUBMITTERS,3415004,Cyanosis (finding),2055,2019,April
ALL,ALL SUBMITTERS,34436003,Blood in urine (finding),69491,2019,April
ALL,ALL SUBMITTERS,370977006,Frostbite (disorder),225,2019,April
ALL,ALL SUBMITTERS,371704001,Injury due to chemical exposure (disorder),4543,2019,April
ALL,ALL SUBMITTERS,371708003,Injury caused by electrical exposure (disorder),4794,2019,April
ALL,ALL SUBMITTERS,385486001,Postoperative complication (disorder),26086,2019,April
ALL,ALL SUBMITTERS,386661006,Fever (finding),554414,2019,April
ALL,ALL SUBMITTERS,386689009,Hypothermia (finding),4043,2019,April
ALL,ALL SUBMITTERS,394616008,Unsteady gait (finding),243351,2019,April
ALL,ALL SUBMITTERS,398979000,Pale complexion (finding),16096,2019,April
ALL,ALL SUBMITTERS,399963005,Abrasion (disorder),43565,2019,April
ALL,ALL SUBMITTERS,404640003,Dizziness (finding),155235,2019,April
ALL,ALL SUBMITTERS,40739000,Dysphagia (disorder),2190,2019,April
ALL,ALL SUBMITTERS,40917007,Clouded consciousness (finding),101825,2019,April
ALL,ALL SUBMITTERS,409668002,Photophobia (finding),5298,2019,April
ALL,ALL SUBMITTERS,410429000,Cardiac arrest (disorder),11768,2019,April
ALL,ALL SUBMITTERS,41652007,Pain in eye (finding),183950,2019,April
ALL,ALL SUBMITTERS,417746004,Traumatic injury (disorder),25731,2019,April
ALL,ALL SUBMITTERS,417981005,Exposure to blood and/or body fluid (event),11867,2019,April
ALL,ALL SUBMITTERS,418363000,Itching of skin (finding),23896,2019,April
ALL,ALL SUBMITTERS,421581006,Pharyngeal swelling (finding),6515,2019,April
ALL,ALL SUBMITTERS,422400008,Vomiting (disorder),262402,2019,April
ALL,ALL SUBMITTERS,422587007,Nausea (finding),13945,2019,April
ALL,ALL SUBMITTERS,422970001,Cardiac arrest due to trauma (disorder),394,2019,April
ALL,ALL SUBMITTERS,427461000,Near syncope (disorder),152805,2019,April
ALL,ALL SUBMITTERS,428566005,Gestation less than 20 weeks (finding),145342,2019,April
ALL,ALL SUBMITTERS,429715006,Gestation greater than 20 weeks (finding),11364,2019,April
ALL,ALL SUBMITTERS,44077006,Numbness (finding),47563,2019,April
ALL,ALL SUBMITTERS,450724008,Injury of cervical region of back (disorder),4943,2019,April
ALL,ALL SUBMITTERS,47609003,Foreign body in esophagus (disorder),8271,2019,April
ALL,ALL SUBMITTERS,48694002,Anxiety (finding),36866,2019,April
ALL,ALL SUBMITTERS,49650001,Dysuria (finding),134772,2019,April
ALL,ALL SUBMITTERS,49727002,Cough (finding),189866,2019,April
ALL,ALL SUBMITTERS,56890008,Victim of sexual aggression (finding),789,2019,April
ALL,ALL SUBMITTERS,57335002,"Toxic effect of gas, fumes AND/OR vapors (disorder)",5362,2019,April
ALL,ALL SUBMITTERS,60728008,Swollen abdomen (finding),5632,2019,April
ALL,ALL SUBMITTERS,60862001,Tinnitus (finding),2646,2019,April
ALL,ALL SUBMITTERS,62315008,Diarrhea (finding),100367,2019,April
ALL,ALL SUBMITTERS,63102001,Visual disturbance (disorder),176304,2019,April
ALL,ALL SUBMITTERS,65958008,Hiccoughs (finding),781,2019,April
ALL,ALL SUBMITTERS,66214007,Substance abuse (disorder),170731,2019,April
ALL,ALL SUBMITTERS,66857006,Hemoptysis (finding),18976,2019,April
ALL,ALL SUBMITTERS,68235000,Nasal congestion (finding),9520,2019,April
ALL,ALL SUBMITTERS,6923002,Injury of perineum (disorder),5737,2019,April
ALL,ALL SUBMITTERS,7011001,Hallucinations (finding),12227,2019,April
ALL,ALL SUBMITTERS,70176004,Foreign body in rectum (disorder),1466,2019,April
ALL,ALL SUBMITTERS,70407001,Stridor (finding),60800,2019,April
ALL,ALL SUBMITTERS,713514005,Muscle weakness of limb (finding),73389,2019,April
ALL,ALL SUBMITTERS,74699008,Foreign body in nose (disorder),15082,2019,April
ALL,ALL SUBMITTERS,75441006,Foreign body in ear (disorder),38237,2019,April
ALL,ALL SUBMITTERS,75478009,Poisoning (disorder),67653,2019,April
ALL,ALL SUBMITTERS,75705005,Red eye (disorder),164525,2019,April
ALL,ALL SUBMITTERS,762898005,Swelling of bilateral lower limbs (finding),4315,2019,April
ALL,ALL SUBMITTERS,77880009,Rectal pain (finding),19350,2019,April
ALL,ALL SUBMITTERS,78680009,"Hospital admission, emergency, direct (procedure)",176925,2019,April
ALL,ALL SUBMITTERS,79890006,Loss of appetite (finding),14136,2019,April
ALL,ALL SUBMITTERS,80313002,Palpitations (finding),165138,2019,April
ALL,ALL SUBMITTERS,80394007,Hyperglycemia (disorder),31723,2019,April
ALL,ALL SUBMITTERS,81680005,Neck pain (finding),72953,2019,April
ALL,ALL SUBMITTERS,82271004,Injury of head (disorder),650608,2019,April
ALL,ALL SUBMITTERS,83128009,Oliguria (finding),19775,2019,April
ALL,ALL SUBMITTERS,84387000,Asymptomatic (finding),15189,2019,April
ALL,ALL SUBMITTERS,87317003,Respiratory arrest (disorder),1886,2019,April
ALL,ALL SUBMITTERS,8765009,Hematemesis (disorder),40847,2019,April
ALL,ALL SUBMITTERS,87970004,Nonfatal submersion (disorder),767,2019,April
ALL,ALL SUBMITTERS,90460009,Injury of neck (disorder),62400,2019,April
ALL,ALL SUBMITTERS,91175000,Seizure (finding),167916,2019,April
ALL,ALL SUBMITTERS,93459000,Foreign body in subcutaneous tissue (disorder),49072,2019,April
ALL,ALL SUBMITTERS,95666008,Weakness of face muscles (finding),40551,2019,April
ALL,ALL SUBMITTERS,95668009,Pain in face (finding),121716,2019,April
ALL,ALL SUBMITTERS,INVALID,INVALID,594657,2019,April
ALL,ALL SUBMITTERS,NOT SUBMITTED,NOT SUBMITTED,4799510,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,102556003,Pain in upper limb (finding),1085,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,10601006,Pain in lower limb (finding),1980,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,125593007,Injury of face (disorder),1115,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,125666000,Burn (disorder),375,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,127278005,Injury of upper extremity (disorder),6285,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,127279002,Injury of lower extremity (disorder),6665,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,128069005,Injury of abdomen (disorder),20,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,13791008,Asthenia (finding),7220,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,14380007,Foreign body in mouth (disorder),60,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,14760008,Constipation (finding),105,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,15188001,Hearing loss (disorder),25,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,161152002,Social problem (finding),40,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,161887000,Spontaneous bruising (disorder),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,161891005,Backache (finding),1045,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,162214009,Crying infant (finding),80,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,162356005,Earache symptom (finding),210,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,162784002,Unilateral leg edema (situation),185,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,170720001,Follow-up ophthalmological assessment (regime/therapy),545,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,18165001,Jaundice (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,182888003,Medication requested (situation),40,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,19491003,Injury of nose (disorder),55,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,20502007,Pain in scrotum (finding),135,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,21522001,Abdominal pain (finding),3655,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,21631000119105,Limb ischemia (disorder),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,225358003,Wound care (regime/therapy),115,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,225565007,Perineal pain (finding),130,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,230145002,Difficulty breathing (finding),3945,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,23168003,Speech dysfunction (finding),30,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,246679005,Discharge from eye (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,247355005,Flank pain (finding),265,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,248004009,Physical aggression (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,248020004,Bizarre behavior (finding),40,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,248062006,Self-injurious behavior (finding),90,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,249624003,Blood in feces symptom (finding),220,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,25064002,Headache (finding),690,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,26079004,Tremor (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,262525000,Chest injury (disorder),540,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,262595009,Traumatic amputation (disorder),10,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,262599003,Foreign body in respiratory tract (disorder),20,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,267064002,Retention of urine (disorder),490,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,267102003,Sore throat symptom (finding),285,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,271594007,Syncope (disorder),225,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,271771009,Joint swelling (finding),25,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,271807003,Eruption of skin (disorder),715,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,272022009,Complaining of feeling depressed (finding),430,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,276464002,Injury of anus (disorder),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,281398003,Groin mass (finding),10,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,282752000,Injury of eye region (disorder),135,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,282765009,Upper back injury (disorder),50,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,282766005,Lower back injury (disorder),530,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,283682007,Bite - wound (disorder),495,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,28442001,Polyuria (finding),40,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,289530006,Bleeding from vagina (finding),250,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,289610003,Vaginal problem (finding),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,290085007,Breast problem (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,297982009,Skin problem (finding),1425,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,29857009,Chest pain (finding),3860,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,2999009,Injury of ear (disorder),25,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,299972003,Sting of skin (disorder),60,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,300132001,Ear discharge (finding),30,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,300528000,Penis problem (finding),35,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,3006004,Disturbance of consciousness (finding),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,302866003,Hypoglycemia (disorder),65,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,312608009,Laceration - injury (disorder),1400,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,312609001,Puncture wound - injury (disorder),170,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,33334006,Foreign body in digestive tract (disorder),105,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,34124000,Foreign body in vagina (disorder),20,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,3415004,Cyanosis (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,34436003,Blood in urine (finding),190,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,370977006,Frostbite (disorder),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,371704001,Injury due to chemical exposure (disorder),40,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,371708003,Injury caused by electrical exposure (disorder),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,385486001,Postoperative complication (disorder),400,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,386661006,Fever (finding),855,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,386689009,Hypothermia (finding),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,394616008,Unsteady gait (finding),685,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,398979000,Pale complexion (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,399963005,Abrasion (disorder),65,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,404640003,Dizziness (finding),510,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,40917007,Clouded consciousness (finding),325,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,409668002,Photophobia (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,410429000,Cardiac arrest (disorder),45,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,41652007,Pain in eye (finding),145,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,417746004,Traumatic injury (disorder),25,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,417981005,Exposure to blood and/or body fluid (event),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,418363000,Itching of skin (finding),10,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,422400008,Vomiting (disorder),750,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,422587007,Nausea (finding),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,427461000,Near syncope (disorder),1000,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,428566005,Gestation less than 20 weeks (finding),390,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,429715006,Gestation greater than 20 weeks (finding),50,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,44077006,Numbness (finding),310,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,450724008,Injury of cervical region of back (disorder),30,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,47609003,Foreign body in esophagus (disorder),70,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,48694002,Anxiety (finding),160,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,49650001,Dysuria (finding),140,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,49727002,Cough (finding),315,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,57335002,"Toxic effect of gas, fumes AND/OR vapors (disorder)",40,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,60728008,Swollen abdomen (finding),35,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,60862001,Tinnitus (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,62315008,Diarrhea (finding),205,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,63102001,Visual disturbance (disorder),105,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,65958008,Hiccoughs (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,66214007,Substance abuse (disorder),245,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,66857006,Hemoptysis (finding),85,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,68235000,Nasal congestion (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,6923002,Injury of perineum (disorder),30,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,7011001,Hallucinations (finding),15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,70407001,Stridor (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,713514005,Muscle weakness of limb (finding),50,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,74699008,Foreign body in nose (disorder),45,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,75441006,Foreign body in ear (disorder),185,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,75478009,Poisoning (disorder),965,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,75705005,Red eye (disorder),10,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,762898005,Swelling of bilateral lower limbs (finding),20,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,77880009,Rectal pain (finding),25,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,78680009,"Hospital admission, emergency, direct (procedure)",15,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,79890006,Loss of appetite (finding),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,80313002,Palpitations (finding),500,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,80394007,Hyperglycemia (disorder),60,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,81680005,Neck pain (finding),345,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,82271004,Injury of head (disorder),2935,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,83128009,Oliguria (finding),30,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,87317003,Respiratory arrest (disorder),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,8765009,Hematemesis (disorder),100,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,87970004,Nonfatal submersion (disorder),*,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,90460009,Injury of neck (disorder),280,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,91175000,Seizure (finding),620,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,93459000,Foreign body in subcutaneous tissue (disorder),225,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,95666008,Weakness of face muscles (finding),10,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,95668009,Pain in face (finding),390,2019,April
RCF,AIREDALE NHS FOUNDATION TRUST,INVALID,INVALID,845,2019,April
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,248062006,Self-injurious behavior (finding),85,2019,April
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,312609001,Puncture wound - injury (disorder),10,2019,April
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,417746004,Traumatic injury (disorder),590,2019,April
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,78680009,"Hospital admission, emergency, direct (procedure)",59880,2019,April
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NOT SUBMITTED,NOT SUBMITTED,160,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,102556003,Pain in upper limb (finding),1730,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10601006,Pain in lower limb (finding),3330,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,125593007,Injury of face (disorder),465,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,125666000,Burn (disorder),315,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,127278005,Injury of upper extremity (disorder),3495,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,127279002,Injury of lower extremity (disorder),3220,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,128069005,Injury of abdomen (disorder),*,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,13094009,Apnea in the newborn (finding),*,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,13791008,Asthenia (finding),25,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,14380007,Foreign body in mouth (disorder),10,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,14760008,Constipation (finding),175,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,15188001,Hearing loss (disorder),*,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,161152002,Social problem (finding),80,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,161887000,Spontaneous bruising (disorder),*,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,161891005,Backache (finding),1920,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,162214009,Crying infant (finding),95,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,162356005,Earache symptom (finding),680,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,162784002,Unilateral leg edema (situation),25,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,170720001,Follow-up ophthalmological assessment (regime/therapy),*,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,18165001,Jaundice (finding),25,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,182888003,Medication requested (situation),155,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,193462001,Insomnia (disorder),*,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,19491003,Injury of nose (disorder),10,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,20502007,Pain in scrotum (finding),40,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,21522001,Abdominal pain (finding),7040,2019,April
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,21631000119105,Limb ischemia (disorder),*,2019,April
